DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_ISTAT_TERR_OFFICIAL_CODE,NOTE_DATA_TYPE,NOTE_DATA_TYPE_DESCR,NOTE_DATA_TYPE_SOURCE,NOTE_INDIC_POLAR,DATA_REF_PERIOD,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,HIGH_EMISS_MOTOR_RATE,2018,20.11,,,,,NOTE_HIGH_EMISS_MOTOR_RATE,DESCR_HIGH_EMISS_MOTOR_RATE,SOURCE_HIGH_EMISS_MOTOR_RATE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2018,,PER_100_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,HIGH_EMISS_MOTOR_RATE,2019,18.24,,,,,NOTE_HIGH_EMISS_MOTOR_RATE,DESCR_HIGH_EMISS_MOTOR_RATE,SOURCE_HIGH_EMISS_MOTOR_RATE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2019,,PER_100_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,HIGH_EMISS_MOTOR_RATE,2021,16.04,,,,,NOTE_HIGH_EMISS_MOTOR_RATE,DESCR_HIGH_EMISS_MOTOR_RATE,SOURCE_HIGH_EMISS_MOTOR_RATE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2021,,PER_100_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,HIGH_EMISS_MOTOR_RATE,2022,15.37,,,,,NOTE_HIGH_EMISS_MOTOR_RATE,DESCR_HIGH_EMISS_MOTOR_RATE,SOURCE_HIGH_EMISS_MOTOR_RATE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2022,,PER_100_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,INDEX_ACCES_ESSENT_SERVICES,2018,31.4,,,,,NOTE_INDEX_ACCES_ESSENT_SERVICES,DESCR_INDEX_ACCES_ESSENT_SERVICES,SOURCE_INDEX_ACCES_ESSENT_SERVICES,POLAR_POS,INDEX_ACCES_ESSENT_SERVICES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2018,,MINUT,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,INDEX_ACCES_ESSENT_SERVICES,2019,31.4,,,,,NOTE_INDEX_ACCES_ESSENT_SERVICES,DESCR_INDEX_ACCES_ESSENT_SERVICES,SOURCE_INDEX_ACCES_ESSENT_SERVICES,POLAR_POS,INDEX_ACCES_ESSENT_SERVICES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2019,,MINUT,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,INDEX_ACCES_ESSENT_SERVICES,2021,31.4,,,,,NOTE_INDEX_ACCES_ESSENT_SERVICES,DESCR_INDEX_ACCES_ESSENT_SERVICES,SOURCE_INDEX_ACCES_ESSENT_SERVICES,POLAR_POS,INDEX_ACCES_ESSENT_SERVICES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2021,,MINUT,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,INDEX_ACCES_ESSENT_SERVICES,2022,31.4,,,,,NOTE_INDEX_ACCES_ESSENT_SERVICES,DESCR_INDEX_ACCES_ESSENT_SERVICES,SOURCE_INDEX_ACCES_ESSENT_SERVICES,POLAR_POS,INDEX_ACCES_ESSENT_SERVICES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2022,,MINUT,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,LAND_CONSUMPTION,2018,5.65,,,,,NOTE_LAND_CONSUMPTION,DESCR_LAND_CONSUMPTION,SOURCE_LAND_CONSUMPTION,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2018,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,LAND_CONSUMPTION,2019,5.65,,,,,NOTE_LAND_CONSUMPTION,DESCR_LAND_CONSUMPTION,SOURCE_LAND_CONSUMPTION,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2019,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,LAND_CONSUMPTION,2021,5.67,,,,,NOTE_LAND_CONSUMPTION,DESCR_LAND_CONSUMPTION,SOURCE_LAND_CONSUMPTION,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2021,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,LAND_CONSUMPTION,2022,5.68,,,,,NOTE_LAND_CONSUMPTION,DESCR_LAND_CONSUMPTION,SOURCE_LAND_CONSUMPTION,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2022,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,LANDSLIDE_HAZARD_ZONES,2018,23.5,,,,,NOTE_LANDSLIDE_HAZARD_ZONES,DESCR_LANDSLIDE_HAZARD_ZONES,SOURCE_LANDSLIDE_HAZARD_ZONES,POLAR_POS,LANDSLIDE_HAZARD_ZONES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2018,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,LANDSLIDE_HAZARD_ZONES,2019,23.51,,,,,NOTE_LANDSLIDE_HAZARD_ZONES,DESCR_LANDSLIDE_HAZARD_ZONES,SOURCE_LANDSLIDE_HAZARD_ZONES,POLAR_POS,LANDSLIDE_HAZARD_ZONES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2019,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,LANDSLIDE_HAZARD_ZONES,2021,23.51,,,,,NOTE_LANDSLIDE_HAZARD_ZONES,DESCR_LANDSLIDE_HAZARD_ZONES,SOURCE_LANDSLIDE_HAZARD_ZONES,POLAR_POS,LANDSLIDE_HAZARD_ZONES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2021,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,LANDSLIDE_HAZARD_ZONES,2022,43.75,,,,,NOTE_LANDSLIDE_HAZARD_ZONES,DESCR_LANDSLIDE_HAZARD_ZONES,SOURCE_LANDSLIDE_HAZARD_ZONES,POLAR_POS,LANDSLIDE_HAZARD_ZONES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2022,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,2018,3,,,,,NOTE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,DESCR_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,SOURCE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2018,,VENTILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,2019,7,,,,,NOTE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,DESCR_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,SOURCE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2019,,VENTILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,2021,7,,,,,NOTE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,DESCR_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,SOURCE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2021,,VENTILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,2022,5,,,,,NOTE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,DESCR_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,SOURCE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2022,,VENTILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_25_64_UNDER_DIP_LOW_SEC_EDU,2018,40.41,,,,,NOTE_POP_25_64_UNDER_DIP_LOW_SEC_EDU,DESCR_POP_25_64_UNDER_DIP_LOW_SEC_EDU,SOURCE_POP_25_64_UNDER_DIP_LOW_SEC_EDU,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2018,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_25_64_UNDER_DIP_LOW_SEC_EDU,2019,40,,,,,NOTE_POP_25_64_UNDER_DIP_LOW_SEC_EDU,DESCR_POP_25_64_UNDER_DIP_LOW_SEC_EDU,SOURCE_POP_25_64_UNDER_DIP_LOW_SEC_EDU,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2019,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_25_64_UNDER_DIP_LOW_SEC_EDU,2021,37.97,,,,,NOTE_POP_25_64_UNDER_DIP_LOW_SEC_EDU,DESCR_POP_25_64_UNDER_DIP_LOW_SEC_EDU,SOURCE_POP_25_64_UNDER_DIP_LOW_SEC_EDU,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2021,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_25_64_UNDER_DIP_LOW_SEC_EDU,2022,35.86,,,,,NOTE_POP_25_64_UNDER_DIP_LOW_SEC_EDU,DESCR_POP_25_64_UNDER_DIP_LOW_SEC_EDU,SOURCE_POP_25_64_UNDER_DIP_LOW_SEC_EDU,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2022,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_DEPEN_INDEX_ADJ,2018,69.41,,,,,NOTE_POP_DEPEN_INDEX_ADJ,DESCR_POP_DEPEN_INDEX_ADJ,SOURCE_POP_DEPEN_INDEX_ADJ,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2018,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_DEPEN_INDEX_ADJ,2019,70.14,,,,,NOTE_POP_DEPEN_INDEX_ADJ,DESCR_POP_DEPEN_INDEX_ADJ,SOURCE_POP_DEPEN_INDEX_ADJ,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2019,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_DEPEN_INDEX_ADJ,2021,72.16,,,,,NOTE_POP_DEPEN_INDEX_ADJ,DESCR_POP_DEPEN_INDEX_ADJ,SOURCE_POP_DEPEN_INDEX_ADJ,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2021,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_DEPEN_INDEX_ADJ,2022,72.55,,,,,NOTE_POP_DEPEN_INDEX_ADJ,DESCR_POP_DEPEN_INDEX_ADJ,SOURCE_POP_DEPEN_INDEX_ADJ,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2022,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_GROWTH_RATE,2018,16.66,,,,,NOTE_POP_GROWTH_RATE,DESCR_POP_GROWTH_RATE,SOURCE_POP_GROWTH_RATE,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2018,,INHAB_3,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_GROWTH_RATE,2019,23.89,,,,,NOTE_POP_GROWTH_RATE,DESCR_POP_GROWTH_RATE,SOURCE_POP_GROWTH_RATE,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2019,,INHAB_3,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_GROWTH_RATE,2021,37.13,,,,,NOTE_POP_GROWTH_RATE,DESCR_POP_GROWTH_RATE,SOURCE_POP_GROWTH_RATE,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2021,,INHAB_3,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,POP_GROWTH_RATE,2022,46.53,,,,,NOTE_POP_GROWTH_RATE,DESCR_POP_GROWTH_RATE,SOURCE_POP_GROWTH_RATE,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2022,,INHAB_3,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,PROTECTED_NAT_AREAS,2018,1.36,,,,,NOTE_PROTECTED_NAT_AREAS,DESCR_PROTECTED_NAT_AREAS,SOURCE_PROTECTED_NAT_AREAS,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2018,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,PROTECTED_NAT_AREAS,2019,1.36,,,,,NOTE_PROTECTED_NAT_AREAS,DESCR_PROTECTED_NAT_AREAS,SOURCE_PROTECTED_NAT_AREAS,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2019,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,PROTECTED_NAT_AREAS,2021,1.36,,,,,NOTE_PROTECTED_NAT_AREAS,DESCR_PROTECTED_NAT_AREAS,SOURCE_PROTECTED_NAT_AREAS,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2021,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,PROTECTED_NAT_AREAS,2022,1.36,,,,,NOTE_PROTECTED_NAT_AREAS,DESCR_PROTECTED_NAT_AREAS,SOURCE_PROTECTED_NAT_AREAS,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2022,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,UNDIF_COLL_URBAN_WASTE,2018,425.8,,,,,NOTE_UNDIF_COLL_URBAN_WASTE,DESCR_UNDIF_COLL_URBAN_WASTE,SOURCE_UNDIF_COLL_URBAN_WASTE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2018,,KG_PER_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,UNDIF_COLL_URBAN_WASTE,2019,130.8,,,,,NOTE_UNDIF_COLL_URBAN_WASTE,DESCR_UNDIF_COLL_URBAN_WASTE,SOURCE_UNDIF_COLL_URBAN_WASTE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2019,,KG_PER_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,UNDIF_COLL_URBAN_WASTE,2021,112.65,,,,,NOTE_UNDIF_COLL_URBAN_WASTE,DESCR_UNDIF_COLL_URBAN_WASTE,SOURCE_UNDIF_COLL_URBAN_WASTE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2021,,KG_PER_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048002,UNDIF_COLL_URBAN_WASTE,2022,121.43,,,,,NOTE_UNDIF_COLL_URBAN_WASTE,DESCR_UNDIF_COLL_URBAN_WASTE,SOURCE_UNDIF_COLL_URBAN_WASTE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2022,,KG_PER_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,COMP_FRAG_INDEX_DECILE,2018,2,,,,,NOTE_COMP_FRAG_INDEX_DECILE,DESCR_COMP_FRAG_INDEX_DECILE,SOURCE_COMP_FRAG_INDEX_DECILE,,,LANDSLIDE_HAZARD_ZONES_2018,,DECILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,COMP_FRAG_INDEX_DECILE,2019,2,,,,,NOTE_COMP_FRAG_INDEX_DECILE,DESCR_COMP_FRAG_INDEX_DECILE,SOURCE_COMP_FRAG_INDEX_DECILE,,,LANDSLIDE_HAZARD_ZONES_2019,,DECILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,COMP_FRAG_INDEX_DECILE,2021,3,,,,,NOTE_COMP_FRAG_INDEX_DECILE,DESCR_COMP_FRAG_INDEX_DECILE,SOURCE_COMP_FRAG_INDEX_DECILE,,,LANDSLIDE_HAZARD_ZONES_2021,,DECILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,COMP_FRAG_INDEX_DECILE,2022,2,,,,,NOTE_COMP_FRAG_INDEX_DECILE,DESCR_COMP_FRAG_INDEX_DECILE,SOURCE_COMP_FRAG_INDEX_DECILE,,,LANDSLIDE_HAZARD_ZONES_2022,,DECILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,DENS_LU_IND_SERV_VENTILE,2018,18,,,,,NOTE_DENS_LU_IND_SERV_VENTILE,DESCR_DENS_LU_IND_SERV_VENTILE,SOURCE_DENS_LU_IND_SERV_VENTILE,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2018,,VENTILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,DENS_LU_IND_SERV_VENTILE,2019,17,,,,,NOTE_DENS_LU_IND_SERV_VENTILE,DESCR_DENS_LU_IND_SERV_VENTILE,SOURCE_DENS_LU_IND_SERV_VENTILE,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2019,,VENTILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,DENS_LU_IND_SERV_VENTILE,2021,17,,,,,NOTE_DENS_LU_IND_SERV_VENTILE,DESCR_DENS_LU_IND_SERV_VENTILE,SOURCE_DENS_LU_IND_SERV_VENTILE,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2021,,VENTILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,DENS_LU_IND_SERV_VENTILE,2022,17,,,,,NOTE_DENS_LU_IND_SERV_VENTILE,DESCR_DENS_LU_IND_SERV_VENTILE,SOURCE_DENS_LU_IND_SERV_VENTILE,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2022,,VENTILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,EMPL_RATE_20_64,2018,73.18,,,,,NOTE_EMPL_RATE_20_64,DESCR_EMPL_RATE_20_64,SOURCE_EMPL_RATE_20_64,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2018,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,EMPL_RATE_20_64,2019,73.86,,,,,NOTE_EMPL_RATE_20_64,DESCR_EMPL_RATE_20_64,SOURCE_EMPL_RATE_20_64,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2019,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,EMPL_RATE_20_64,2021,74.6,,,,,NOTE_EMPL_RATE_20_64,DESCR_EMPL_RATE_20_64,SOURCE_EMPL_RATE_20_64,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2021,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,EMPL_RATE_20_64,2022,75.21,,,,,NOTE_EMPL_RATE_20_64,DESCR_EMPL_RATE_20_64,SOURCE_EMPL_RATE_20_64,POLAR_NEG,,LANDSLIDE_HAZARD_ZONES_2022,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,HIGH_EMISS_MOTOR_RATE,2018,17.75,,,,,NOTE_HIGH_EMISS_MOTOR_RATE,DESCR_HIGH_EMISS_MOTOR_RATE,SOURCE_HIGH_EMISS_MOTOR_RATE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2018,,PER_100_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,HIGH_EMISS_MOTOR_RATE,2019,16.42,,,,,NOTE_HIGH_EMISS_MOTOR_RATE,DESCR_HIGH_EMISS_MOTOR_RATE,SOURCE_HIGH_EMISS_MOTOR_RATE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2019,,PER_100_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,HIGH_EMISS_MOTOR_RATE,2021,14,,,,,NOTE_HIGH_EMISS_MOTOR_RATE,DESCR_HIGH_EMISS_MOTOR_RATE,SOURCE_HIGH_EMISS_MOTOR_RATE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2021,,PER_100_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,HIGH_EMISS_MOTOR_RATE,2022,13.39,,,,,NOTE_HIGH_EMISS_MOTOR_RATE,DESCR_HIGH_EMISS_MOTOR_RATE,SOURCE_HIGH_EMISS_MOTOR_RATE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2022,,PER_100_INHA,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,INDEX_ACCES_ESSENT_SERVICES,2018,44.2,,,,,NOTE_INDEX_ACCES_ESSENT_SERVICES,DESCR_INDEX_ACCES_ESSENT_SERVICES,SOURCE_INDEX_ACCES_ESSENT_SERVICES,POLAR_POS,INDEX_ACCES_ESSENT_SERVICES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2018,,MINUT,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,INDEX_ACCES_ESSENT_SERVICES,2019,44.2,,,,,NOTE_INDEX_ACCES_ESSENT_SERVICES,DESCR_INDEX_ACCES_ESSENT_SERVICES,SOURCE_INDEX_ACCES_ESSENT_SERVICES,POLAR_POS,INDEX_ACCES_ESSENT_SERVICES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2019,,MINUT,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,INDEX_ACCES_ESSENT_SERVICES,2021,44.2,,,,,NOTE_INDEX_ACCES_ESSENT_SERVICES,DESCR_INDEX_ACCES_ESSENT_SERVICES,SOURCE_INDEX_ACCES_ESSENT_SERVICES,POLAR_POS,INDEX_ACCES_ESSENT_SERVICES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2021,,MINUT,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,INDEX_ACCES_ESSENT_SERVICES,2022,44.2,,,,,NOTE_INDEX_ACCES_ESSENT_SERVICES,DESCR_INDEX_ACCES_ESSENT_SERVICES,SOURCE_INDEX_ACCES_ESSENT_SERVICES,POLAR_POS,INDEX_ACCES_ESSENT_SERVICES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2022,,MINUT,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,LAND_CONSUMPTION,2018,3.81,,,,,NOTE_LAND_CONSUMPTION,DESCR_LAND_CONSUMPTION,SOURCE_LAND_CONSUMPTION,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2018,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,LAND_CONSUMPTION,2019,3.82,,,,,NOTE_LAND_CONSUMPTION,DESCR_LAND_CONSUMPTION,SOURCE_LAND_CONSUMPTION,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2019,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,LAND_CONSUMPTION,2021,3.83,,,,,NOTE_LAND_CONSUMPTION,DESCR_LAND_CONSUMPTION,SOURCE_LAND_CONSUMPTION,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2021,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,LAND_CONSUMPTION,2022,3.83,,,,,NOTE_LAND_CONSUMPTION,DESCR_LAND_CONSUMPTION,SOURCE_LAND_CONSUMPTION,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2022,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,LANDSLIDE_HAZARD_ZONES,2018,23.18,,,,,NOTE_LANDSLIDE_HAZARD_ZONES,DESCR_LANDSLIDE_HAZARD_ZONES,SOURCE_LANDSLIDE_HAZARD_ZONES,POLAR_POS,LANDSLIDE_HAZARD_ZONES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2018,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,LANDSLIDE_HAZARD_ZONES,2019,23.22,,,,,NOTE_LANDSLIDE_HAZARD_ZONES,DESCR_LANDSLIDE_HAZARD_ZONES,SOURCE_LANDSLIDE_HAZARD_ZONES,POLAR_POS,LANDSLIDE_HAZARD_ZONES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2019,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,LANDSLIDE_HAZARD_ZONES,2021,23.22,,,,,NOTE_LANDSLIDE_HAZARD_ZONES,DESCR_LANDSLIDE_HAZARD_ZONES,SOURCE_LANDSLIDE_HAZARD_ZONES,POLAR_POS,LANDSLIDE_HAZARD_ZONES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2021,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,LANDSLIDE_HAZARD_ZONES,2022,25.88,,,,,NOTE_LANDSLIDE_HAZARD_ZONES,DESCR_LANDSLIDE_HAZARD_ZONES,SOURCE_LANDSLIDE_HAZARD_ZONES,POLAR_POS,LANDSLIDE_HAZARD_ZONES_REF_PERIOD,LANDSLIDE_HAZARD_ZONES_2022,,VAL_PERC,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,2018,5,,,,,NOTE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,DESCR_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,SOURCE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2018,,VENTILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,2019,5,,,,,NOTE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,DESCR_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,SOURCE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2019,,VENTILE_ASCEND,
IT1:DF_COMP_FRA_IND_MUNICIPAL_01(1.0),A,048004,PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,2021,12,,,,,NOTE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,DESCR_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,SOURCE_PERSEMP_LU_LOW_PRO_INDSERV_VENTILE,POLAR_POS,,LANDSLIDE_HAZARD_ZONES_2021,,VENTILE_ASCEND,
